SiteID	LatDD	LonDD	StreamName	Source	State	UBA_ha	Aspect_deg	Slope_per	Elev_m	Notes
MIRU	39.546585	-78.90921	Mill Run	Kashiwagi	MD	189.9	187.2	3.8	366.9	MBSS siteID: PRLN-626
MORU	41.308899	-78.018753	Montour Run	Sweka	PA	429.1	51.1	8.8	264.6	NA
MRLO	39.549946	-79.147026	Monroe Run	Wampler	MD	1353.8	145.2	3.5	470.6	Monroe Run-Lower
MRMI	39.55558	-79.118607	Monroe Run	Wampler	MD	1251.5	288.1	1	464.8	Monroe Run-Middle
MRUP	39.564629	-79.198158	Monroe Run	Wampler	MD	504.4	166.5	16.5	619.4	Monroe Run-Upper
NMCR	34.879902	-83.637985	North Moccasin Creek	Rabern	GA	88.8	28.8	14	910.5	Rabern "Station 2"
OCLO	39.669609	-77.47831	Owens Creek	Mullican	MD	773.4	14.9	5	338.8	NA
OCUP	39.661453	-77.481255	Owens Creek	Mullican	MD	690.8	15.2	1.3	366.2	NA
PABR	39.6056	-76.641317	Panther Branch	Staley	MD	303.8	308.6	24.6	97.2	Panther Branch Site #1
PAL-1	35.633753	-83.143965	Palmer Creek	Kulp	NC	1992.7	31.9	31.6	1001.6	NA
PARU	41.637001	-78.255344	Parker Run	Sweka	PA	1478	156.2	1.4	433.4	NA
PECR	34.960503	-83.488167	Persimmon Creek	Rabern	GA	146.4	258.9	25.6	757.7	NA
PICR	39.577385	-76.678238	Piney Creek	Staley	MD	373.3	128	3.3	140.5	NA
PLLO	39.586174	-79.094727	Poplar Lick	Wampler	MD	2171.8	211.9	19.5	517.7	Poplar Lick-Lower
PLMI	39.598408	-79.118523	Poplar Lick	Wampler	MD	1780.2	291.3	12	575.4	Poplar Lick-Middle
PLUP	39.619903	-79.142947	Poplar Lick	Wampler	MD	831.8	121.5	7.9	712	Poplar Lick-Upper
POCR	34.900913	-83.578079	Popcorn Creek	Rabern	GA	126.2	244.4	6	705.4	NA
PRBR	34.770477	-84.042717	Pretty Branch	Rabern	GA	258.8	224.9	16.7	827.4	NA
PRRU	41.692837	-77.918106	Prouty Run	Sweka	PA	495.9	160.6	2.7	558.9	NA
PTH-1	35.656788	-83.13501	Pretty Hollow	Kulp	NC	831.1	117.4	13.5	1095.7	NA
PTH-2	35.66209	-83.135162	Pretty Hollow	Kulp	NC	496.4	186.8	16.3	1152.1	NA
RACR	34.946041	-83.325287	Ramey Creek	Rabern	GA	64.7	275.7	1.9	967.9	NA
RDLO	38.31625	-79.35321	Ramseys Draft	Reeser	VA	2395.7	179.4	4.6	708.2	Ramseys Draft-Lower
RDUP	38.334232	-79.337708	Ramseys Draft	Reeser	VA	1906.1	201.1	3.6	771.6	Ramseys Draft-Upper
ROC-1	35.761002	-83.210655	Rock Creek	Kulp	TN	541.8	34.7	6.8	629	NA
ROC-2	35.759605	-83.211716	Rock Creek	Kulp	TN	537.7	74.1	9.7	645.4	NA
ROC-3	35.757736	-83.212738	Rock Creek	Kulp	TN	535.5	6.4	13.5	667.4	NA
ROC-4	35.754444	-83.21375	Rock Creek	Kulp	TN	533.9	73.2	6.5	686.7	NA
ROC-5	35.754383	-83.214012	Rock Creek	Kulp	TN	532.1	328.1	7.2	712.7	NA
ROC-6	35.753349	-83.214073	Rock Creek	Kulp	TN	530.6	40	15.9	725	NA
ROC-7	35.745747	-83.216179	Rock Creek	Kulp	TN	315.3	17.7	18.1	845.1	NA
ROFK	37.05204	-81.437355	Roaring Fork	Reeser	VA	1225.2	305	16.8	905.5	NA
ROFO	36.067509	-82.596039	Rocky Fork	Habera	TN	571.2	83.6	5.3	983.7	NA
RORU	41.479416	-78.140358	Rock Run	Sweka	PA	362.1	188.8	4.9	365.7	NA
RPMB	36.120071	-82.095627	Right Prong Middle Branch	Habera	TN	112.1	11.3	10.5	1241.3	NA
RPR-1	35.634388	-83.4701	Road Prong	Kulp	TN	898.6	274.9	21.6	1035.2	NA
RPR-2	35.63295	-83.468102	Road Prong	Kulp	TN	890.5	354.9	8.2	1059.2	NA
RPR-5	35.626675	-83.470314	Road Prong	Kulp	TN	759.2	298.5	14.5	1140.6	NA
RRTR	39.69397	-76.805763	Roller Road Tributary	Staley	MD	296.8	25	3.3	185.3	NA
SAM-6	35.578938	-83.654305	Sams Creek	Kulp	TN	245	23	19.1	1058.3	NA
SAM-7	35.574901	-83.65274	Sams Creek	Kulp	TN	224.5	321	16.1	1095.8	NA
SAM-8	35.573842	-83.651304	Sams Creek	Kulp	TN	151.1	314.2	16.7	1119.4	NA
SARI	39.600445	-79.069879	Savage River	Kashiwagi	MD	4863.1	12.6	19	549.2	MBSS siteID: SAVA-225
SHRU	39.676476	-76.770905	Springhouse Run	Staley	MD	253.3	130.6	11.9	163.2	NA
SIL-1	35.59433	-83.567497	Silers Creek	Kulp	TN	343.2	61.4	45.8	1039.4	NA
SIL-10	35.585651	-83.564804	Silers Creek	Kulp	TN	273.9	1	14.4	1131.4	NA
SIL-4	35.591694	-83.566635	Silers Creek	Kulp	TN	331.8	335.4	6.9	1065.3	NA
SIL-9	35.586334	-83.565048	Silers Creek	Kulp	TN	288.5	318.7	6.7	1125.7	NA
SIRU	39.689018	-76.769867	Silver Run	Staley	MD	328.9	3.1	1	179	NA
SMBR	39.525089	-76.532013	Sawmill Branch	Staley	MD	445.1	140.3	8.1	125.5	NA
SRUP	39.60001	-79.055	Savage River	Wampler	MD	3438.2	129.8	5.4	583.1	Above Little Savage
STK-1	35.582123	-83.658608	Starkey Creek	Kulp	TN	243.6	46.2	15.9	990.4	NA
TAY-1	35.605988	-83.321053	Taywa Creek	Kulp	NC	288.7	326.2	20.4	1021.7	NA
TAY-11	35.612595	-83.314064	Taywa Creek	Kulp	NC	166.9	240.4	16.9	1117.3	NA
TAY-4	35.608017	-83.319771	Taywa Creek	Kulp	NC	257.7	209.7	12.6	1047.2	NA
TAY-9	35.61105	-83.315506	Taywa Creek	Kulp	NC	178.9	237.3	6.7	1095.5	NA
TOM-1	35.760968	-83.207494	Toms Creek	Kulp	TN	449.1	285.2	10.8	642.1	NA
TPCR	34.95382	-83.22235	Totterypole Creek	Rabern	GA	589.6	98.8	10.8	566.4	Rabern "Station 2"
UBC	35.0452	-83.4471	Upper Ball Creek	Grossman	NC	204.1	120.6	8	833.1	TLs calculated as 1.102*SL (fishbase.org)
WAL-1	35.54122	-83.643171	Walkers Creek	Kulp	NC	295.1	175.4	26.3	1093.9	NA
WAL-1N	35.52623	-83.633865	Walkers Creek	Kulp	NC	737.5	185.2	13.5	898	NA
